club_id,name,pretty_name,domestic_competition,league_id,market_value,latitude,longitude
27,fc-bayern-munchen,Fc Bayern Munchen,L1,L1,732780000,48.100989,11.57392
16,borussia-dortmund,Borussia Dortmund,L1,L1,561870000,51.49810790000001,7.450868100000001
23826,rasenballsport-leipzig,Rasenballsport Leipzig,L1,L1,504855000,51.337729,12.3763613
15,bayer-04-leverkusen,Bayer 04 Leverkusen,L1,L1,323775000,51.0374547,6.995106799999999
18,borussia-monchengladbach,Borussia Monchengladbach,L1,L1,266355000,51.1745698,6.3855055
82,vfl-wolfsburg,Vfl Wolfsburg,L1,L1,222525000,52.4319036,10.8080212
24,eintracht-frankfurt,Eintracht Frankfurt,L1,L1,219645000,50.0689207,8.646605
533,tsg-1899-hoffenheim,Tsg 1899 Hoffenheim,L1,L1,196065000,49.29218960000001,8.8164412
44,hertha-bsc,Hertha Bsc,L1,L1,185153000,52.5199869,13.2446153
79,vfb-stuttgart,Vfb Stuttgart,L1,L1,170325000,48.7897451,9.2346424
60,sc-freiburg,Sc Freiburg,L1,L1,122490000,47.9885392,7.891718
3,1-fc-koln,1 Fc Koln,L1,L1,90315000,50.9071749,6.9050349
33,fc-schalke-04,Fc Schalke 04,L1,L1,77580000,51.55943,7.062145999999999
86,sv-werder-bremen,Sv Werder Bremen,L1,L1,77648000,53.0669453,8.8386341
167,fc-augsburg,Fc Augsburg,L1,L1,82350000,48.3891206,10.9028241
39,1-fsv-mainz-05,1 Fsv Mainz 05,L1,L1,99450000,49.9940382,8.2209647
89,1-fc-union-berlin,1 Fc Union Berlin,L1,L1,72630000,52.4574025,13.5681038
10,arminia-bielefeld,Arminia Bielefeld,L1,L1,49455000,52.0210726,8.5009337
131,fc-barcelona,Fc Barcelona,ES1,ES1,703800000,41.3802643,2.1209085
13,atletico-madrid,Atletico Madrid,ES1,ES1,660150000,40.421073,-3.7075315
418,real-madrid,Real Madrid,ES1,ES1,636300000,40.4783126,-3.6165072
368,fc-sevilla,Fc Sevilla,ES1,ES1,328860000,37.3829691,-5.9719057
681,real-sociedad-san-sebastian,Real Sociedad San Sebastian,ES1,ES1,326250000,43.3218738,-1.9833233
1049,fc-valencia,Fc Valencia,ES1,ES1,231750000,39.47466,-0.3585882
1050,fc-villarreal,Fc Villarreal,ES1,ES1,243180000,39.9394068,-0.1167347
621,athletic-bilbao,Athletic Bilbao,ES1,ES1,179280000,40.4455078,-4.007275700000001
150,real-betis-sevilla,Real Betis Sevilla,ES1,ES1,202050000,37.3960435,-5.9637769
3709,fc-getafe,Fc Getafe,ES1,ES1,144765000,40.3230909,-3.7174702
940,celta-vigo,Celta Vigo,ES1,ES1,122310000,42.2124872,-8.739781599999999
16795,fc-granada,Fc Granada,ES1,ES1,106605000,37.1681727,-3.607335
3368,ud-levante,Ud Levante,ES1,ES1,99000000,39.49469089999999,-0.3638088
331,ca-osasuna,Ca Osasuna,ES1,ES1,84420000,42.79620389999999,-1.6376989
1108,deportivo-alaves,Deportivo Alaves,ES1,ES1,65160000,42.8375085,-2.6889514
1533,sd-eibar,Sd Eibar,ES1,ES1,70920000,43.1818535,-2.4749368
366,real-valladolid,Real Valladolid,ES1,ES1,54135000,41.6440018,-4.7635596
5358,sd-huesca,Sd Huesca,ES1,ES1,56160000,42.13188830000001,-0.4247182
1531,fc-elche,Fc Elche,ES1,ES1,35370000,38.2670521,-0.6641199999999999
2687,fc-cadiz,Fc Cadiz,ES1,ES1,38115000,36.50240489999999,-6.273480999999999
281,manchester-city,Manchester City,GB1,GB1,925020000,53.4807593,-2.2426305
31,fc-liverpool,Fc Liverpool,GB1,GB1,792450000,53.431858,-2.8974912
631,fc-chelsea,Fc Chelsea,GB1,GB1,839205000,51.4816868,-0.1911718
985,manchester-united,Manchester United,GB1,GB1,770895000,53.4631062,-2.2912515
148,tottenham-hotspur,Tottenham Hotspur,GB1,GB1,446805000,51.603333,-0.065833
11,fc-arsenal,Fc Arsenal,GB1,GB1,464220000,51.5567807,-0.106239
1003,leicester-city,Leicester City,GB1,GB1,461790000,52.6203662,-1.1421895
29,fc-everton,Fc Everton,GB1,GB1,410940000,53.438913,-2.967068
543,wolverhampton-wanderers,Wolverhampton Wanderers,GB1,GB1,333630000,52.5910453,-2.1308445
405,aston-villa,Aston Villa,GB1,GB1,334620000,52.5082381,-1.8839609
1237,brighton-amp-hove-albion,Brighton Amp Hove Albion,GB1,GB1,248490000,50.8619678,-0.0847603
180,fc-southampton,Fc Southampton,GB1,GB1,237690000,50.9058049,-1.3900867
379,west-ham-united,West Ham United,GB1,GB1,179100000,51.53739179999999,-0.0153542
762,newcastle-united,Newcastle United,GB1,GB1,209430000,54.9747689,-1.6206457
931,fc-fulham,Fc Fulham,GB1,GB1,183600000,51.4744751,-0.220554
399,leeds-united,Leeds United,GB1,GB1,198000000,53.7966448,-1.545159
873,crystal-palace,Crystal Palace,GB1,GB1,166050000,51.398333,-0.085556
350,sheffield-united,Sheffield United,GB1,GB1,119880000,53.3699169,-1.47004
1132,fc-burnley,Fc Burnley,GB1,GB1,118215000,53.788987,-2.230187
984,west-bromwich-albion,West Bromwich Albion,GB1,GB1,106110000,52.509038,-1.963938
583,fc-paris-saint-germain,Fc Paris Saint Germain,FR1,FR1,711720000,48.8419911,2.2518922
162,as-monaco,As Monaco,FR1,FR1,315045000,43.732594,7.417439999999999
1041,olympique-lyon,Olympique Lyon,FR1,FR1,297495000,45.76529499999999,4.982029
1082,losc-lille,Losc Lille,FR1,FR1,285120000,50.6367168,3.0676021
273,fc-stade-rennes,Fc Stade Rennes,FR1,FR1,192870000,48.1078857,-1.7132073
244,olympique-marseille,Olympique Marseille,FR1,FR1,204794999,43.3019504,5.462257999999999
417,ogc-nizza,Ogc Nizza,FR1,FR1,199845000,43.6823203,7.195828000000001
969,montpellier-hsc,Montpellier Hsc,FR1,FR1,101700000,43.6221434,3.8120627
667,rc-strassburg-alsace,Rc Strassburg Alsace,FR1,FR1,93915000,48.5848629,7.7428985
618,as-saint-etienne,As Saint Etienne,FR1,FR1,95490000,45.4850532,4.372929699999999
1421,stade-reims,Stade Reims,FR1,FR1,91603000,49.2733656,4.0238922
826,rc-lens,Rc Lens,FR1,FR1,90585000,50.4273112,2.8107637
995,fc-nantes,Fc Nantes,FR1,FR1,81540000,47.2598688,-1.5431473
40,fc-girondins-bordeaux,Fc Girondins Bordeaux,FR1,FR1,79020000,44.8777743,-0.6718012000000001
3911,stade-brest-29,Stade Brest 29,FR1,FR1,76343000,48.4061814,-4.4569715
347,fc-metz,Fc Metz,FR1,FR1,81720000,49.1103336,6.159718799999999
1420,sco-angers,Sco Angers,FR1,FR1,69210000,47.4596413,-0.5689477
1158,fc-lorient,Fc Lorient,FR1,FR1,64418000,47.7097868,-3.4236788
2969,dijon-fco,Dijon Fco,FR1,FR1,48780000,47.3242115,5.0693187
1160,nimes-olympique,Nimes Olympique,FR1,FR1,51615000,43.8168566,4.3604921
46,inter-mailand,Inter Mailand,IT1,IT1,584010000,45.46555499999999,9.197405999999999
506,juventus-turin,Juventus Turin,IT1,IT1,569340000,45.1096276,7.641243099999999
6195,ssc-neapel,Ssc Neapel,IT1,IT1,470948000,40.84312430000001,14.2556225
5,ac-mailand,Ac Mailand,IT1,IT1,453150000,45.4653667,9.1971174
12,as-rom,As Rom,IT1,IT1,336150000,41.7619881,12.9580954
800,atalanta-bergamo,Atalanta Bergamo,IT1,IT1,323010000,45.69271579999999,9.6675259
398,lazio-rom,Lazio Rom,IT1,IT1,283320000,41.9027835,12.4963655
