,player_id,club_id,name,pretty_name,country_of_birth,country_of_citizenship,date_of_birth,position,sub_position,foot,height_in_cm,url,league_id,market_value,games,minutes_played,goals,assists,wins,draws,losses,yellow_cards,red_cards,age,club_name
0,580276,15,emrehan-gedikli,Emrehan Gedikli,Germany,Germany,2003-04-25,Attack,Centre-Forward,Right,186,https://www.transfermarkt.co.uk/emrehan-gedikli/profil/spieler/580276,L1,900000,1,24,0,0,0,0,1,0,0,18,Bayer 04 Leverkusen
1,368860,18,torben-musel,Torben Musel,Germany,Germany,1999-07-25,Midfield,Attacking Midfield,Right,185,https://www.transfermarkt.co.uk/torben-musel/profil/spieler/368860,L1,270000,0,0,0,0,0,0,0,0,0,21,Borussia Monchengladbach
2,48298,18,lars-stindl,Lars Stindl,Germany,Germany,1988-08-26,Attack,Second Striker,Right,181,https://www.transfermarkt.co.uk/lars-stindl/profil/spieler/48298,L1,4500000,30,1968,14,10,11,10,9,6,0,32,Borussia Monchengladbach
3,96167,24,amin-younes,Amin Younes,Germany,Germany,1993-08-06,Midfield,Attacking Midfield,Right,168,https://www.transfermarkt.co.uk/amin-younes/profil/spieler/96167,L1,9000000,26,1397,3,3,12,8,6,5,0,27,Eintracht Frankfurt
4,472224,24,felix-irorere,Felix Irorere,France,Germany,2002-06-21,Defender,Centre-Back,,195,https://www.transfermarkt.co.uk/felix-irorere/profil/spieler/472224,L1,180000,0,0,0,0,0,0,0,0,0,18,Eintracht Frankfurt
5,125614,533,sargis-adamyan,Sargis Adamyan,Armenia,Armenia,1993-05-23,Attack,Centre-Forward,Right,184,https://www.transfermarkt.co.uk/sargis-adamyan/profil/spieler/125614,L1,3150000,18,471,2,2,7,6,5,2,0,28,Tsg 1899 Hoffenheim
6,223979,82,xaver-schlager,Xaver Schlager,Austria,Austria,1997-09-28,Midfield,Central Midfield,Left,174,https://www.transfermarkt.co.uk/xaver-schlager/profil/spieler/223979,L1,24300000,32,2639,2,4,15,10,7,7,0,23,Vfl Wolfsburg
7,538977,533,georginio-rutter,Georginio Rutter,France,France,2002-04-20,Attack,Centre-Forward,Left,182,https://www.transfermarkt.co.uk/georginio-rutter/profil/spieler/538977,L1,3150000,13,275,1,0,2,4,3,0,0,19,Tsg 1899 Hoffenheim
8,8246,533,philipp-pentke,Philipp Pentke,DDR,Germany,1985-05-01,Goalkeeper,Goalkeeper,Right,191,https://www.transfermarkt.co.uk/philipp-pentke/profil/spieler/8246,L1,270000,3,270,0,0,1,2,0,0,0,36,Tsg 1899 Hoffenheim
9,145866,533,munas-dabbur,Munas Dabbur,Israel,Israel,1992-05-14,Attack,Centre-Forward,Right,182,https://www.transfermarkt.co.uk/munas-dabbur/profil/spieler/145866,L1,5400000,22,998,4,0,7,5,10,2,0,29,Tsg 1899 Hoffenheim
10,52348,533,benjamin-hubner,Benjamin Hubner,Germany,Germany,1989-07-04,Defender,Centre-Back,Left,193,https://www.transfermarkt.co.uk/benjamin-hubner/profil/spieler/52348,L1,1170000,0,0,0,0,0,0,0,0,0,31,Tsg 1899 Hoffenheim
11,161011,24,filip-kostic,Filip Kostic,heutiges Serbien,Serbia,1992-11-01,Midfield,Left Midfield,Left,184,https://www.transfermarkt.co.uk/filip-kostic/profil/spieler/161011,L1,31500000,30,2536,4,17,15,10,5,4,0,28,Eintracht Frankfurt
12,125714,60,mark-flekken,Mark Flekken,Netherlands,Netherlands,1993-06-13,Goalkeeper,Goalkeeper,Both,194,https://www.transfermarkt.co.uk/mark-flekken/profil/spieler/125714,L1,2250000,3,270,0,0,1,1,1,0,0,27,Sc Freiburg
13,45660,27,eric-maxim-choupo-moting,Eric Maxim Choupo Moting,Germany,Cameroon,1989-03-23,Attack,Centre-Forward,Right,191,https://www.transfermarkt.co.uk/eric-maxim-choupo-moting/profil/spieler/45660,L1,3150000,22,812,3,0,16,4,2,2,0,32,Fc Bayern Munchen
14,483046,27,josip-stanisic,Josip Stanisic,,Germany,2000-04-02,Defender,Right-Back,Both,186,https://www.transfermarkt.co.uk/josip-stanisic/profil/spieler/483046,L1,360000,1,90,0,0,0,1,0,0,0,21,Fc Bayern Munchen
15,580195,27,jamal-musiala,Jamal Musiala,Germany,Germany,2003-02-26,Midfield,Attacking Midfield,Right,180,https://www.transfermarkt.co.uk/jamal-musiala/profil/spieler/580195,L1,34200000,26,870,6,1,19,4,3,0,0,18,Fc Bayern Munchen
16,192565,27,leroy-sane,Leroy Sane,Germany,Germany,1996-01-11,Attack,Right Winger,Left,183,https://www.transfermarkt.co.uk/leroy-sane/profil/spieler/192565,L1,54000000,32,1805,6,10,22,6,4,2,0,25,Fc Bayern Munchen
17,159471,27,serge-gnabry,Serge Gnabry,Germany,Germany,1995-07-14,Attack,Right Winger,Right,176,https://www.transfermarkt.co.uk/serge-gnabry/profil/spieler/159471,L1,63000000,27,1655,10,5,21,4,2,4,0,25,Fc Bayern Munchen
18,317444,27,ron-thorben-hoffmann,Ron Thorben Hoffmann,Germany,Germany,1999-04-04,Goalkeeper,Goalkeeper,Right,192,https://www.transfermarkt.co.uk/ron-thorben-hoffmann/profil/spieler/317444,L1,540000,0,0,0,0,0,0,0,0,0,22,Fc Bayern Munchen
19,429987,27,tiago-dantas,Tiago Dantas,Portugal,Portugal,2000-12-24,Midfield,Central Midfield,Right,170,https://www.transfermarkt.co.uk/tiago-dantas/profil/spieler/429987,L1,2700000,2,69,0,0,1,1,0,0,0,20,Fc Bayern Munchen
20,153084,27,leon-goretzka,Leon Goretzka,Germany,Germany,1995-02-06,Midfield,Central Midfield,Right,189,https://www.transfermarkt.co.uk/leon-goretzka/profil/spieler/153084,L1,63000000,24,1706,5,7,17,3,4,2,0,26,Fc Bayern Munchen
21,574569,44,marten-winkler,Marten Winkler,Germany,Germany,2002-10-31,Attack,Centre-Forward,,182,https://www.transfermarkt.co.uk/marten-winkler/profil/spieler/574569,L1,180000,1,1,0,0,0,1,0,0,0,18,Hertha Bsc
22,26485,27,jerome-boateng,Jerome Boateng,Germany,Germany,1988-09-03,Defender,Centre-Back,Right,190,https://www.transfermarkt.co.uk/jerome-boateng/profil/spieler/26485,L1,7650000,29,2378,1,1,21,5,3,6,0,32,Fc Bayern Munchen
23,58358,27,thomas-muller,Thomas Muller,Germany,Germany,1989-09-13,Attack,Second Striker,Right,185,https://www.transfermarkt.co.uk/thomas-muller/profil/spieler/58358,L1,27000000,32,2685,11,21,24,5,3,0,0,31,Fc Bayern Munchen
24,161056,27,joshua-kimmich,Joshua Kimmich,Germany,Germany,1995-02-08,Midfield,Defensive Midfield,Right,177,https://www.transfermarkt.co.uk/joshua-kimmich/profil/spieler/161056,L1,81000000,27,2196,4,10,20,3,4,4,0,26,Fc Bayern Munchen
25,17259,27,manuel-neuer,Manuel Neuer,Germany,Germany,1986-03-27,Goalkeeper,Goalkeeper,Right,193,https://www.transfermarkt.co.uk/manuel-neuer/profil/spieler/17259,L1,16200000,33,2970,0,0,24,5,4,1,0,35,Fc Bayern Munchen
26,528833,23826,lazar-samardzic,Lazar Samardzic,Germany,Germany,2002-02-24,Midfield,Attacking Midfield,Left,184,https://www.transfermarkt.co.uk/lazar-samardzic/profil/spieler/528833,L1,2700000,7,197,0,1,4,0,3,0,0,19,Rasenballsport Leipzig
27,44017,27,javi-martinez,Javi Martinez,Spain,Spain,1988-09-02,Midfield,Defensive Midfield,Right,189,https://www.transfermarkt.co.uk/javi-martinez/profil/spieler/44017,L1,4500000,19,457,0,0,15,3,1,0,0,32,Fc Bayern Munchen
28,59016,27,david-alaba,David Alaba,Austria,Austria,1992-06-24,Defender,Left-Back,Left,180,https://www.transfermarkt.co.uk/david-alaba/profil/spieler/59016,L1,49500000,32,2676,2,4,22,6,4,4,0,28,Fc Bayern Munchen
29,243714,27,kingsley-coman,Kingsley Coman,France,France,1996-06-13,Attack,Left Winger,Right,180,https://www.transfermarkt.co.uk/kingsley-coman/profil/spieler/243714,L1,58500000,29,1762,5,12,19,6,4,1,0,24,Fc Bayern Munchen
30,38253,27,robert-lewandowski,Robert Lewandowski,Poland,Poland,1988-08-21,Attack,Centre-Forward,Right,185,https://www.transfermarkt.co.uk/robert-lewandowski/profil/spieler/38253,L1,54000000,29,2463,41,7,20,5,4,4,0,32,Fc Bayern Munchen
31,503162,27,christopher-scott,Christopher Scott,Germany,Germany,2002-06-07,Midfield,Attacking Midfield,Right,179,https://www.transfermarkt.co.uk/christopher-scott/profil/spieler/503162,L1,1080000,2,32,0,0,1,1,0,0,0,19,Fc Bayern Munchen
32,296879,16,steffen-tigges,Steffen Tigges,Germany,Germany,1998-07-31,Attack,Centre-Forward,Left,193,https://www.transfermarkt.co.uk/steffen-tigges/profil/spieler/296879,L1,1080000,6,49,0,0,3,0,3,0,0,22,Borussia Dortmund
33,388067,16,stefan-drljaca,Stefan Drljaca,Germany,Germany,1999-04-20,Goalkeeper,Goalkeeper,Right,192,https://www.transfermarkt.co.uk/stefan-drljaca/profil/spieler/388067,L1,225000,0,0,0,0,0,0,0,0,0,22,Borussia Dortmund
34,102226,16,thorgan-hazard,Thorgan Hazard,Belgium,Belgium,1993-03-29,Attack,Left Winger,Right,175,https://www.transfermarkt.co.uk/thorgan-hazard/profil/spieler/102226,L1,24300000,16,654,1,3,11,1,4,0,0,28,Borussia Dortmund
35,538996,27,tanguy-nianzou,Tanguy Nianzou,France,France,2002-06-07,Defender,Centre-Back,Right,187,https://www.transfermarkt.co.uk/tanguy-nianzou/profil/spieler/538996,L1,9900000,6,115,0,0,4,1,1,1,1,19,Fc Bayern Munchen
36,35047,16,axel-witsel,Axel Witsel,Liège / Luik,Belgium,1989-01-12,Midfield,Defensive Midfield,Right,188,https://www.transfermarkt.co.uk/axel-witsel/profil/spieler/35047,L1,8100000,15,1130,0,0,9,1,5,4,0,32,Borussia Dortmund
37,91849,16,thomas-delaney,Thomas Delaney,Denmark,Denmark,1991-09-03,Midfield,Defensive Midfield,Left,182,https://www.transfermarkt.co.uk/thomas-delaney/profil/spieler/91849,L1,13500000,20,1289,1,1,14,1,5,6,0,29,Borussia Dortmund
38,467720,16,youssoufa-moukoko,Youssoufa Moukoko,Cameroon,Germany,2004-11-20,Attack,Centre-Forward,Left,179,https://www.transfermarkt.co.uk/youssoufa-moukoko/profil/spieler/467720,L1,16200000,14,412,3,0,4,4,6,0,0,16,Borussia Dortmund
39,39728,16,mats-hummels,Mats Hummels,Germany,Germany,1988-12-16,Defender,Centre-Back,Right,191,https://www.transfermarkt.co.uk/mats-hummels/profil/spieler/39728,L1,10800000,33,2816,5,0,19,4,10,6,0,32,Borussia Dortmund
40,284730,16,manuel-akanji,Manuel Akanji,Switzerland,Switzerland,1995-07-19,Defender,Centre-Back,Right,187,https://www.transfermarkt.co.uk/manuel-akanji/profil/spieler/284730,L1,27000000,28,2351,2,0,16,3,9,4,0,25,Borussia Dortmund
41,384745,16,tobias-raschl,Tobias Raschl,Germany,Germany,2000-02-21,Midfield,Central Midfield,Right,177,https://www.transfermarkt.co.uk/tobias-raschl/profil/spieler/384745,L1,630000,0,0,0,0,0,0,0,0,0,21,Borussia Dortmund
42,401173,16,jadon-sancho,Jadon Sancho,Camberwell,England,2000-03-25,Attack,Right Winger,Right,180,https://www.transfermarkt.co.uk/jadon-sancho/profil/spieler/401173,L1,90000000,26,2071,8,12,15,3,8,0,0,21,Borussia Dortmund
43,35208,16,marcel-schmelzer,Marcel Schmelzer,DDR,Germany,1988-01-22,Defender,Left-Back,Left,180,https://www.transfermarkt.co.uk/marcel-schmelzer/profil/spieler/35208,L1,630000,0,0,0,0,0,0,0,0,0,33,Borussia Dortmund
44,119296,16,emre-can,Emre Can,Germany,Germany,1994-01-12,Midfield,Defensive Midfield,Right,186,https://www.transfermarkt.co.uk/emre-can/profil/spieler/119296,L1,23400000,28,2133,1,4,16,4,8,5,0,27,Borussia Dortmund
45,35207,16,marco-reus,Marco Reus,Germany,Germany,1989-05-31,Midfield,Attacking Midfield,Right,180,https://www.transfermarkt.co.uk/marco-reus/profil/spieler/35207,L1,11700000,32,2293,8,8,20,2,10,1,0,32,Borussia Dortmund
46,344598,16,dan-axel-zagadou,Dan Axel Zagadou,France,France,1999-06-03,Defender,Centre-Back,Left,196,https://www.transfermarkt.co.uk/dan-axel-zagadou/profil/spieler/344598,L1,16200000,9,273,0,0,5,2,2,0,0,22,Borussia Dortmund
47,59027,16,roman-burki,Roman Burki,Switzerland,Switzerland,1990-11-14,Goalkeeper,Goalkeeper,Right,187,https://www.transfermarkt.co.uk/roman-burki/profil/spieler/59027,L1,3600000,19,1665,0,0,10,2,7,0,0,30,Borussia Dortmund
